index,kind,zil_name,japanese_source,my_english,infocom_zil
25,room,TROLL-ROOM,ここは東と南に通路があり、西には不気味な穴のある小部屋{05}血痕と（おそらくは斧で傷つけたと思われる）傷痕が壁をだいなしにして,THIS IS A SMALL ROOM WITH PASSAGES TO THE EAST AND SOUTH AND A FORBIDDING HOLE LEADING WEST. BLOODSTAINS AND DEEP SCRATCHES (PERHAPS MADE BY AN AXE) MAR THE WALLS.,This is a small room with passages to the east and south and a forbidding hole leading west. Bloodstains and deep scratches (perhaps made by an axe) mar the walls.
26,obj,PAINTING,なまけものの天才画家が描いた絵,A PAINTING PAINTED BY A LAZY GENIUS ARTIST.,A painting by a neglected genius is here.
27,obj,TROLL,汚ならしいトロルが、血まみれの斧を振り回して、部屋を出れないようにして,"A NASTY-LOOKING TROLL, BRANDISHING A BLOODY AXE, BLOCKS ALL PASSAGES OUT OF THE ROOM.","A nasty-looking troll, brandishing a bloody axe, blocks all passages out of the room."
28,obj,SKELETON,<0e:fe>{12}運の悪い冒険家のなれの果てであろう骸骨が,"A SKELETON, PROBABLY THE REMAINS OF AN UNLUCKY ADVENTURER, IS HERE.",(no static desc - auto-generated)
29,obj,BAG-OF-COINS,コインでふくらんでいる古びた革の財布が,"AN OLD LEATHER POUCH, BULGING WITH COINS, IS HERE.","An old leather bag, bulging with coins, is here."
30,room,CYCLOPS-ROOM,長い通路{05}西には１つ出入口が{06}東には（ちょうど{1f}が通れるくらいの穴のあいた）大きな古い木のドア妖精の剣が,"THIS IS A LONG PASSAGE. TO THE WEST IS ONE ENTRANCE. ON THE EAST THERE IS AN OLD WOODEN DOOR, WITH A LARGE OPENING IN IT (ABOUT CYCLOPS SIZED).",(no static desc - auto-generated)
31,room,TREASURE-ROOM,東側の壁がみかげ石でできた大きな部屋{05}ちょっと触れば崩れてしまいそうな、いろいろな袋が床一面に散らか{08}下に向かう階段が,"THIS IS A LARGE ROOM, WHOSE EAST WALL IS SOLID GRANITE. A NUMBER OF DISCARDED BAGS, WHICH CRUMBLE AT YOUR TOUCH, ARE SCATTERED ABOUT ON THE FLOOR. THERE IS AN EXIT DOWN A STAIRCASE.","This is a large room, whose east wall is solid granite. A number of discarded bags, which crumble at your touch, are scattered about on the floor. There is an exit down a staircase."
32,obj,CHALICE,銀の杯がここに,A SILVER CHALICE IS HERE.,"There is a silver chalice, intricately engraved, here."
33,room,IN-STREAM,優しく流れる小川に/上流は船で行くには狭すぎ、下流への道は壁に隠れて見え{03}降りられそうなちょっとした河原が,"YOU ARE ON THE GENTLY FLOWING STREAM. THE UPSTREAM ROUTE IS TOO NARROW TO NAVIGATE, AND THE DOWNSTREAM ROUTE IS INVISIBLE DUE TO TWISTING WALLS. THERE IS A NARROW BEACH TO LAND ON.","You are on the gently flowing stream. The upstream route is too narrow to navigate, and the downstream route is invisible due to twisting walls. There is a narrow beach to land on."
34,room,STREAM-VIEW,優しく流れる小川の横の道に立{08}西から東に流れる小川に沿って道が続いて,"YOU ARE STANDING ON A PATH BESIDE A GENTLY FLOWING STREAM. THE PATH FOLLOWS THE STREAM, WHICH FLOWS FROM WEST TO EAST.","You are standing on a path beside a gently flowing stream. The path follows the stream, which flows from west to east."
35,obj,TRUNK,古いトランクがここに,AN OLD TRUNK IS HERE.,"There is an old trunk here, bulging with assorted jewels."
36,room,ATLANTIS-ROOM,ここは長い間水中にあった古代の部屋{05}南に出口があり、上に階段が続いて,"THIS IS AN ANCIENT ROOM, LONG UNDER WATER. THERE IS AN EXIT TO THE SOUTH AND A STAIRCASE LEADING UP.","This is an ancient room, long under water. There is an exit to the south and a staircase leading up."
37,room,COLD-PASSAGE,寒く、じめじめした回廊{05}長く東西に伸びており、端が南に曲が,THIS IS A COLD AND DAMP CORRIDOR WHERE A LONG EAST-WEST PASSAGEWAY TURNS INTO A SOUTHWARD PATH.,This is a cold and damp corridor where a long east-west passageway turns into a southward path.
38,room,NARROW-PASSAGE,長く狭い、南北に伸びる回廊で、進むにしたがってさらに狭くな,THIS IS A LONG AND NARROW CORRIDOR WHERE A LONG NORTH-SOUTH PASSAGEWAY BRIEFLY NARROWS EVEN FURTHER.,This is a long and narrow corridor where a long north-south passageway briefly narrows even further.
39,room,SMALL-CAVE,ここは西と北に出口があり、下に続く階段のある小さなたて穴,"THIS IS A TINY CAVE WITH ENTRANCES WEST AND NORTH, AND A STAIRCASE LEADING DOWN.","This is a tiny cave with entrances west and north, and a staircase leading down."
40,room,TINY-CAVE,小さなたて穴{05}西と北に出口があり、暗く、不気味な階段が下に続いて,"THIS IS A TINY CAVE WITH ENTRANCES WEST AND NORTH, AND A DARK, FORBIDDING STAIRCASE LEADING DOWN.","This is a tiny cave with entrances west and north, and a dark, forbidding staircase leading down."
41,room,CHASM-ROOM,南西から北東に走る亀裂があり、あなたは、裂け目に沿って続く道にいます。南端にも、小さな通路が,"A CHASM RUNS SOUTHWEST TO NORTHEAST AND THE PATH FOLLOWS IT. YOU ARE ON THE SOUTH SIDE OF THE CHASM, WHERE A CRACK OPENS INTO A PASSAGE.","A chasm runs southwest to northeast and the path follows it. You are on the south side of the chasm, where a crack opens into a passage."
42,room,DAMP-CAVE,この部屋は東西に出口が{06}南の壁には小さな亀裂が{06}足元はじめじめして,"THIS CAVE HAS EXITS TO THE WEST AND EAST, AND NARROWS TO A CRACK TOWARD THE SOUTH. THE EARTH IS PARTICULARLY DAMP HERE.","This cave has exits to the west and east, and narrows to a crack toward the south. The earth is particularly damp here."
43,room,EW-PASSAGE,狭く東西に伸びる通路{05}北端には、下に続く狭い階段が,THIS IS A NARROW EAST-WEST PASSAGEWAY. THERE IS A NARROW STAIRWAY LEADING DOWN AT THE NORTH END OF THE ROOM.,This is a narrow east-west passageway. There is a narrow stairway leading down at the north end of the room.
44,room,NS-PASSAGE,南北に続く道{05}北東には枝道が,"THIS IS A HIGH NORTH-SOUTH PASSAGE, WHICH FORKS TO THE NORTHEAST.","This is a high north-south passage, which forks to the northeast."
45,room,ROUND-ROOM,どの方向にも通路のある、円形の石の部屋{05}残念ながら多くの通路は落盤によってふさがれて,THIS IS A CIRCULAR STONE ROOM WITH PASSAGES IN ALL DIRECTIONS. SEVERAL OF THEM HAVE UNFORTUNATELY BEEN BLOCKED BY CAVE-INS.,This is a circular stone room with passages in all directions. Several of them have unfortunately been blocked by cave-ins.
46,obj,BAR,地面には大きなプラチナの棒が,ON THE GROUND IS A LARGE PLATINUM BAR.,On the ground is a large platinum bar.
47,obj,THIEF,怪しげな人物が壁にもたれ掛か{08}大きな袋をかつぎ、一突きで人を殺せそうな短剣を身につけて,THERE IS A SUSPICIOUS-LOOKING INDIVIDUAL LEANING AGAINST THE WALL. HE IS CARRYING A LARGE BAG AND A VICIOUS STILETTO THAT COULD KILL WITH A SINGLE THRUST.,"There is a suspicious-looking individual, holding a large bag, leaning against one wall. He is armed with a deadly stiletto."
48,room,ENTRANCE-TO-HADES,死者の国へ来{02}何千という魂の泣き声やうめき声が聞こえます。片隅には、以前来たと思われる冒険者たちの遺骸が積まれて/北に向かう通路が,YOU HAVE ENTERED THE LAND OF THE LIVING DEAD. THOUSANDS OF LOST SOULS CAN BE HEARD WEEPING AND MOANING. IN THE CORNER ARE STACKED THE REMAINS OF DOZENS OF PREVIOUS ADVENTURERS LESS FORTUNATE THAN YOURSELF. A PASSAGE EXITS TO THE NORTH.,(no static desc - auto-generated)
49,room,EGYPT-ROOM,エジプトの墓のような部屋{05}西には、上に向かう階段が,THIS IS A ROOM WHICH LOOKS LIKE AN EGYPTIAN TOMB. THERE IS AN ASCENDING STAIRCASE TO THE WEST.,This is a room which looks like an Egyptian tomb. There is an ascending staircase to the west.
50,room,ENGRAVINGS-CAVE,北西と東に道の続く低い部屋に入り,YOU HAVE ENTERED A LOW CAVE WITH PASSAGES LEADING NORTHWEST AND EAST.,You have entered a low cave with passages leading northwest and east.
51,room,NORTH-TEMPLE,大きな寺院の北端に/東の壁には、おそらく長い間使われることのなかった言葉で書かれている、祈りの言葉らしい古代の碑文が{06}その祈りの言葉の下には、下に通じる階段が{06}西の壁は硬いみかげ石{05}部屋の北端の出口は大きな大理石の柱でできて,"THIS IS THE NORTH END OF A LARGE TEMPLE. ON THE EAST WALL IS AN ANCIENT INSCRIPTION, PROBABLY A PRAYER IN A LONG-FORGOTTEN LANGUAGE. BELOW THE PRAYER IS A STAIRCASE LEADING DOWN. THE WEST WALL IS SOLID GRANITE. THE EXIT TO THE NORTH END OF THE ROOM IS THROUGH HUGE MARBLE PILLARS.","This is the north end of a large temple. On the east wall is an ancient inscription, probably a prayer in a long-forgotten language. Below the prayer is a staircase leading down. The west wall is solid granite. The exit to the north end of the room is through huge marble pillars."
52,room,SOUTH-TEMPLE,大きな寺院の南端に/祭壇らしきものが目の前に{06}祭壇は、まるで輝いているかのようで、その神々しさは、信心の薄いあなたでも思わず祈りたくなるような雰囲気{05}片隅には暗闇へと続く小さな穴が開いて{11}すでに開いて{11}すでに開いて{11}すでに開いて{11}すでに開いて{11}すでに開いて{11}すでに<1e:07>トロルトロルトロルトロルトロルトロル穴に入ったら返ってこれないような気がし,THIS IS THE SOUTH END OF A LARGE TEMPLE. IN FRONT OF YOU IS WHAT APPEARS TO BE AN ALTAR. IN ONE CORNER IS A SMALL HOLE IN THE FLOOR WHICH LEADS INTO DARKNESS. YOU PROBABLY COULD NOT GET BACK UP IT.,This is the south end of a large temple. In front of you is what appears to be an altar. In one corner is a small hole in the floor which leads into darkness. You probably could not get back up it.
53,obj,COFFIN,ラムセス�U世の埋葬に使われた黄金の棺がここに,A GOLDEN COFFIN USED IN THE BURIAL OF RAMSES II IS HERE.,The solid-gold coffin used for the burial of Ramses II is here.
54,obj,ENGRAVINGS,古い彫刻のある壁が,THERE IS A WALL HERE COVERED WITH OLD ENGRAVINGS.,There are old engravings on the walls here.
55,obj,SCEPTRE,宝石で飾られている、尖った杖が{06}元気なあなたには必要ないかもしれませんが、振りかざせば、海くらいは割れるかもしれ,"A SHARP SCEPTRE, ADORNED WITH JEWELS, IS HERE. YOU MAY NOT NEED IT WHILE YOU ARE WELL, BUT IF YOU WAVE IT, YOU MIGHT EVEN PART THE SEA.","An ornamented sceptre, tapering to a sharp point, is here."
56,room,DAM-LOBBY,ここはダムを見学する人たちの待合室だった{04}開いた通路が北に、そして「私用」と記された部屋が東に{06}ダムの頂上の南へ続く通路が,"THIS ROOM APPEARS TO HAVE BEEN THE WAITING ROOM FOR GROUPS TOURING THE DAM. THERE ARE OPEN DOORWAYS HERE TO THE NORTH AND EAST MARKED ""PRIVATE"", AND THERE IS A PATH LEADING SOUTH OVER THE TOP OF THE DAM.","This room appears to have been the waiting room for groups touring the dam. There are open doorways here to the north and east marked ""Private"", and there is a path leading south over the top of the dam."
57,room,MAINTENANCE-ROOM,ここは第３水量調整ダムの制御室の{04}この部屋は、つい最近に略奪を受けたようで、高価な品は見あたり{03}目の前の壁には青色のボタン、黄色のボタン、茶色のボタン、赤色のボタン青色のボタンじゅうたんが並んで/西と南に出口が,"THIS IS WHAT APPEARS TO HAVE BEEN THE MAINTENANCE ROOM FOR FLOOD CONTROL DAM #3. APPARENTLY, THIS ROOM HAS BEEN RANSACKED RECENTLY, FOR MOST OF THE VALUABLE EQUIPMENT IS GONE. ON THE WALL IN FRONT OF YOU IS A GROUP OF BUTTONS COLORED BLUE, YELLOW, BROWN, AND RED. THERE ARE DOORWAYS TO THE WEST AND SOUTH.","This is what appears to have been the maintenance room for Flood Control Dam #3. Apparently, this room has been ransacked recently, for most of the valuable equipment is gone. On the wall in front of you is a group of buttons colored blue, yellow, brown, and red. There are doorways to the west and south."
58,obj,MATCHBOOK,ここに紙マッチマッチが{06}２つ折りのカバーには「美しき第３水量調整ダムを訪ねよう」と書かれて,"A MATCHBOOK IS HERE. ITS FOLDED COVER READS ""VISIT BEAUTIFUL FLOOD CONTROL DAM #3.""",(no static desc - auto-generated)
59,obj,TUBE,歯磨きチューブのようなものがここに,SOMETHING LIKE A TUBE OF TOOTHPASTE IS HERE.,There is an object which looks like a tube of toothpaste here.
60,room,CANYON-BOTTOM,峡谷の崖の下に/ここから峡谷に登れそう{05}アラゲイン滝の下流は下方に続いて/北には狭い道が,YOU ARE BENEATH THE WALLS OF THE RIVER CANYON WHICH MAY BE CLIMBABLE HERE. THE LESSER PART OF THE RUNOFF OF ARAGAIN FALLS FLOWS BY BELOW. TO THE NORTH IS A NARROW PATH.,You are beneath the walls of the river canyon which may be climbable here. The lesser part of the runoff of Aragain Falls flows by below. To the north is a narrow path.
61,room,CANYON-VIEW,大峡谷の西壁の頂上に/峡谷とフリジッド河上流のすばらしい景色が見渡せます。峡谷を横切る白い絶壁が、東にあるフラットヘッド山脈の巨大な壁へとつなが{08}北に向かう峡谷の上流に沿っていくと、虹と共にアラゲイン滝が見えるはず{05}巨大なフリジッド河は大きく暗い洞窟から流れ出て/西と南には、あたり一帯何キロにも広がる巨大な森が{09}小道が北西に続いて/ここから,"YOU ARE AT THE TOP OF THE GREAT CANYON ON ITS WEST WALL. FROM HERE THERE IS A MARVELOUS VIEW OF THE CANYON AND PARTS OF THE FRIGID RIVER UPSTREAM. ACROSS THE CANYON, THE WALLS OF THE WHITE CLIFFS JOIN THE MIGHTY RAMPARTS OF THE FLATHEAD MOUNTAINS TO THE EAST. FOLLOWING THE CANYON UPSTREAM TO THE NORTH, ARAGAIN FALLS MAY BE SEEN, COMPLETE WITH RAINBOW. THE MIGHTY FRIGID RIVER FLOWS OUT FROM A GREAT DARK CAVERN. TO THE WEST AND SOUTH CAN BE SEEN AN IMMENSE FOREST, STRETCHING FOR MILES AROUND. A PATH LEADS NORTHWEST. IT IS POSSIBLE TO CLIMB DOWN INTO THE CANYON FROM HERE.","You are at the top of the Great Canyon on its west wall. From here there is a marvelous view of the canyon and parts of the Frigid River upstream. Across the canyon, the walls of the White Cliffs join the mighty ramparts of the Flathead Mountains to the east. Following the Canyon upstream to the north, Aragain Falls may be seen, complete with rainbow. The mighty Frigid River flows out from a great dark cavern. To the west and south can be seen an immense forest, stretching for miles around. A path leads northwest. It is possible to climb down into the canyon from here."
62,room,CLIFF-MIDDLE,峡谷の崖を半分ほど登った所にある岩だなの上に/アラゲイン滝の本流に沿って曲がりくねった道が見えますが、ここから行くことはでき{03}眼下は峡谷の底{05}上には、なんとか登れそうな岩壁が続いて,"YOU ARE ON A LEDGE ABOUT HALFWAY UP THE WALL OF THE RIVER CANYON. YOU CAN SEE FROM HERE THAT THE MAIN FLOW FROM ARAGAIN FALLS TWISTS ALONG A PASSAGE WHICH IT IS IMPOSSIBLE FOR YOU TO ENTER. BELOW YOU IS THE CANYON BOTTOM. ABOVE YOU IS MORE CLIFF, WHICH APPEARS CLIMBABLE.","You are on a ledge about halfway up the wall of the river canyon. You can see from here that the main flow from Aragain Falls twists along a passage which it is impossible for you to enter. Below you is the canyon bottom. Above you is more cliff, which appears climbable."
63,room,DAM-BASE,上方と北に見える第３水量調整ダムの底に/フリジッド河はここから流れでて/曲がりくねった下流に沿ってそびえ立つ白い絶壁は、南北に続く巨大な壁の,"YOU ARE AT THE BASE OF FLOOD CONTROL DAM #3, WHICH LOOMS ABOVE YOU AND TO THE NORTH. THE RIVER FRIGID IS FLOWING BY HERE. ALONG THE RIVER ARE THE WHITE CLIFFS WHICH SEEM TO FORM GIANT WALLS STRETCHING FROM NORTH TO SOUTH ALONG THE SHORES OF THE RIVER AS IT WINDS ITS WAY DOWNSTREAM.","You are at the base of Flood Control Dam #3, which looms above you and to the north. The river Frigid is flowing by here. Along the river are the White Cliffs which seem to form giant walls stretching from north to south along the shores of the river as it winds its way downstream."
64,room,END-OF-RAINBOW,滝を越えてフリジッド河から続く小さな岩だらけの砂浜に/白い絶壁のため、砂浜はかなり狭くな{08}峡谷はひらけており、上から太陽の光がそそいで/虹は滝の上を東に横切り、狭い道が南西に続いて,"YOU ARE ON A SMALL, ROCKY BEACH ON THE CONTINUATION OF THE FRIGID RIVER PAST THE FALLS. THE BEACH IS NARROW DUE TO THE PRESENCE OF THE WHITE CLIFFS. THE RIVER CANYON OPENS HERE AND SUNLIGHT SHINES IN FROM ABOVE. A RAINBOW CROSSES OVER THE FALLS TO THE EAST AND A NARROW PATH CONTINUES TO THE SOUTHWEST.","You are on a small, rocky beach on the continuation of the Frigid River past the Falls. The beach is narrow due to the presence of the White Cliffs. The river canyon opens here and sunlight shines in from above. A rainbow crosses over the falls to the east and a narrow path continues to the southwest."
65,room,ARAGAIN-FALLS,[YOU]は、美しい滝が見える虹の上にいます（虹の上を歩くなんて考えたこともなかったでしょう）。虹は東西に伸びて,"YOU ARE ON TOP OF A RAINBOW (I BET YOU NEVER THOUGHT YOU WOULD WALK ON A RAINBOW), WITH A MAGNIFICENT VIEW OF THE FALLS. THE RAINBOW TRAVELS EAST-WEST HERE.",(no static desc - auto-generated)
66,room,RIVER-1,ダムの近くにあるフリジッド河の上に/この辺の流れは静か{05}西岸に上がれそうな場所が,YOU ARE ON THE FRIGID RIVER IN THE VICINITY OF THE DAM. THE RIVER FLOWS QUIETLY HERE. THERE IS A LANDING ON THE WEST SHORE.,You are on the Frigid River in the vicinity of the Dam. The river flows quietly here. There is a landing on the west shore.
67,room,RIVER-2,河が曲がりくねっているため、ここからはダムは見え{03}東側の土手には、ぼんやりと白い絶壁が見え、西側には大きな岩が[YOU]の行く手をはばんで{11}<1e:ff>{19}安全に上陸できるような地点が見つかり{13}<1e:ff>,THE RIVER TURNS A CORNER HERE MAKING IT IMPOSSIBLE TO SEE THE DAM. THE WHITE CLIFFS LOOM ON THE EAST BANK AND LARGE ROCKS PREVENT LANDING ON THE WEST.,The river turns a corner here making it impossible to see the Dam. The White Cliffs loom on the east bank and large rocks prevent landing on the west.
68,room,RIVER-3,河は峡谷の中を下ります。絶壁の下の西岸に狭い河原が{06}遠くからかすかな音が聞こえます。{00}<1e:ff>,THE RIVER DESCENDS HERE INTO A VALLEY. THERE IS A NARROW BEACH ON THE WEST SHORE BELOW THE CLIFFS. IN THE DISTANCE A FAINT RUMBLING CAN BE HEARD.,The river descends here into a valley. There is a narrow beach on the west shore below the cliffs. In the distance a faint rumbling can be heard.
69,room,RIVER-4,ここでは河の流れは速く、とても激しくな{08}東岸は砂浜{05}西側の絶壁の下に小さな河原が{19}<1e:ff>{19}東西どちらの岸にも行けます。,THE RIVER IS RUNNING FASTER HERE AND THE SOUND AHEAD APPEARS TO BE THAT OF RUSHING WATER. ON THE EAST SHORE IS A SANDY BEACH. A SMALL AREA OF BEACH CAN ALSO BE SEEN BELOW THE CLIFFS ON THE WEST SHORE.,The river is running faster here and the sound ahead appears to be that of rushing water. On the east shore is a sandy beach. A small area of beach can also be seen below the cliffs on the west shore.
70,room,RIVER-5,激流の音は耐えがたいほど{05}東岸には広い河原が,THE SOUND OF RUSHING WATER IS NEARLY UNBEARABLE HERE. ON THE EAST SHORE IS A LARGE LANDING AREA.,The sound of rushing water is nearly unbearable here. On the east shore is a large landing area.
71,room,SANDY-BEACH,激しく流れる河の東岸にある広い砂浜に/道は河岸を南北に走り、北東には砂の道がちらちら,"YOU ARE ON A LARGE SANDY BEACH ON THE EAST SHORE OF THE RIVER, WHICH IS FLOWING QUICKLY BY. A PATH RUNS BESIDE THE RIVER TO THE SOUTH HERE, AND A PASSAGE IS PARTIALLY BURIED IN SAND TO THE NORTHEAST.","You are on a large sandy beach on the east shore of the river, which is flowing quickly by. A path runs beside the river to the south here, and a passage is partially buried in sand to the northeast."
72,room,SANDY-CAVE,ここは砂のほら穴{05}出口は南西の方,THIS IS A SAND-FILLED CAVE WHOSE EXIT IS TO THE SOUTHWEST.,This is a sand-filled cave whose exit is to the southwest.
73,room,SHORE,河の東岸に/このあたりの流れは、やや危険な{04}南北に走る道の南端は、鋭角に向きを変えて,"YOU ARE ON THE EAST SHORE OF THE RIVER. THE WATER HERE SEEMS SOMEWHAT TREACHEROUS. A PATH TRAVELS FROM NORTH TO SOUTH HERE, THE SOUTH END QUICKLY TURNING AROUND A SHARP CORNER.","You are on the east shore of the river. The water here seems somewhat treacherous. A path travels from north to south here, the south end quickly turning around a sharp corner."
74,room,WHITE-CLIFFS-SOUTH,白い絶壁に沿って続いている、狭くて細長い河原に/絶壁に沿って南に向かう狭い道、そして西には絶壁に入る窮屈そうな通路が,"YOU ARE ON A ROCKY, NARROW STRIP OF BEACH BESIDE THE CLIFFS. A NARROW PATH LEADS NORTH ALONG THE SHORE.","You are on a rocky, narrow strip of beach beside the Cliffs. A narrow path leads north along the shore."
75,room,WHITE-CLIFFS-NORTH,絶壁の横にある岩だらけの狭く細長い河原に/岸に沿って北に向かう細い道が,YOU ARE ON A NARROW STRIP OF BEACH WHICH RUNS ALONG THE BASE OF THE WHITE CLIFFS. THERE IS A NARROW PATH HEADING SOUTH ALONG THE CLIFFS AND A TIGHT PASSAGE LEADING WEST INTO THE CLIFFS THEMSELVES.,You are on a narrow strip of beach which runs along the base of the White Cliffs. There is a narrow path heading south along the Cliffs and a tight passage leading west into the cliffs themselves.
76,obj,INFLATABLE-BOAT,ここに折りたたんだビニールが{06}小さなバルブがついて,HERE IS A FOLDED PILE OF PLASTIC WITH A SMALL VALVE ATTACHED.,There is a folded pile of plastic here which has a small valve attached.
77,room,DEAD-END-5,炭坑の行き止まりに来て,YOU HAVE COME TO A DEAD END IN THE MINE.,You have come to a dead end in the mine.
